Primary NAICS,Chemical,Clean Air Act Chemical,Metal,Metal Category,Carci0gen,Unit of Measure,Total Releases
331421,ZINC COMPOUNDS,0,1,1,0,Pounds,4454
332510,NICKEL,1,1,1,1,Pounds,0
333912,NICKEL,1,1,1,1,Pounds,250
334418,LEAD,1,1,1,1,Pounds,0
322121,FORMIC ACID,0,0,0,0,Pounds,2435
322121,METHANOL,1,0,0,0,Pounds,302612
541712,POLYCHLORINATED BIPHENYLS,1,0,0,1,Pounds,30
424710,ETHYLBENZENE,1,0,0,0,Pounds,0
325199,METHANOL,1,0,0,0,Pounds,3136
424710,"BENZO(G,H,I)PERYLENE",1,0,0,1,Pounds,0.15
326299,THIRAM,0,0,0,0,Pounds,0
325131,NITRATE COMPOUNDS,0,0,0,0,Pounds,0
325131,NITRIC ACID,0,0,0,0,Pounds,362
424710,CYCLOHEXANE,0,0,0,0,Pounds,0
327212,LEAD,1,1,1,1,Pounds,261.5
424710,"BENZO(G,H,I)PERYLENE",1,0,0,1,Pounds,0
324121,POLYCYCLIC AROMATIC COMPOUNDS,1,0,0,1,Pounds,6.47
327420,LEAD,1,1,1,1,Pounds,0.149
424710,CYCLOHEXANE,0,0,0,0,Pounds,10.98
424710,"1,2,4-TRIMETHYLBENZENE",0,0,0,0,Pounds,10
424710,TOLUENE,1,0,0,0,Pounds,0
424710,POLYCYCLIC AROMATIC COMPOUNDS,1,0,0,1,Pounds,0.835
221112,DIOXIN AND DIOXIN-LIKE COMPOUNDS,1,0,0,0,Grams,0.129
221112,METHANOL,1,0,0,0,Pounds,8283
332431,LEAD,1,1,1,1,Pounds,8.19
424690,THIOUREA,0,0,0,1,Pounds,0
325193,BENZENE,1,0,0,1,Pounds,0
335932,LEAD COMPOUNDS,1,1,1,0,Pounds,0
316110,MIXTURE,0,0,0,0,Pounds,1500
327310,CHROMIUM,1,1,1,1,Pounds,0
424710,BENZENE,1,0,0,1,Pounds,268.03
326150,DIISOCYANATES,1,0,0,0,Pounds,1332
327993,LEAD,1,1,1,1,Pounds,50.3
332312,CERTAIN GLYCOL ETHERS,1,0,0,0,Pounds,21167
327992,O-TOLUIDINE,1,0,0,1,Pounds,2.19
327992,POLYCYCLIC AROMATIC COMPOUNDS,1,0,0,1,Pounds,0.01
334290,DIISOCYANATES,1,0,0,0,Pounds,0
424710,ETHYLBENZENE,1,0,0,0,Pounds,71.88
334419,LEAD COMPOUNDS,1,1,1,0,Pounds,314
331111,MERCURY COMPOUNDS,1,1,1,0,Pounds,10.113128
325188,AMMONIA,0,0,0,0,Pounds,654
332813,NITRATE COMPOUNDS,0,0,0,0,Pounds,0
331419,ANTIMONY,1,1,1,0,Pounds,0
221112,POLYCYCLIC AROMATIC COMPOUNDS,1,0,0,1,Pounds,41.18
325320,PERMETHRIN,0,0,0,0,Pounds,0
332510,MANGANESE,1,1,1,0,Pounds,0
424710,POLYCYCLIC AROMATIC COMPOUNDS,1,0,0,1,Pounds,4.3
327122,CHROMIUM COMPOUNDS(EXCEPT CHROMITE ORE MINED IN THE TRANSVAAL REGION),1,1,1,0,Pounds,2588
339115,"BENZO(G,H,I)PERYLENE",1,0,0,1,Pounds,0
311942,LEAD,1,1,1,1,Pounds,298.1
221112,HYDROGEN FLUORIDE,1,0,0,0,Pounds,43
221112,POLYCYCLIC AROMATIC COMPOUNDS,1,0,0,1,Pounds,9
562211,"BENZO(G,H,I)PERYLENE",1,0,0,1,Pounds,68.1
