Primary NAICS,Chemical,Clean Air Act Chemical,Metal,Carcinogen,Unit of Measure,5.2 Stack Air,On-site Release Total,Off-Site Release Total,Total Releases
311513,NITRIC ACID,NO,NO,NO,Pounds,0,0,0,0
335929,COPPER,NO,YES,NO,Pounds,3,6,0,6
221112,N-HEXANE,YES,NO,NO,Pounds,3.89,3.89,0,3.89
334413,OZONE,NO,NO,NO,Pounds,10,10,0,10
327992,DI(2-ETHYLHEXYL) PHTHALATE,YES,NO,YES,Pounds,0.37,5.52,0,5.52
311513,POLYCYCLIC AROMATIC COMPOUNDS,YES,NO,YES,Pounds,0,0,0,0
331111,CHROMIUM COMPOUNDS(EXCEPT CHROMITE ORE MINED IN THE TRANSVAAL REGION),YES,YES,NO,Pounds,24.971,38.942,0.02,38.962
424710,"BENZO(G,H,I)PERYLENE",YES,NO,YES,Pounds,0,0,0,0
331491,NITRIC ACID,NO,NO,NO,Pounds,750,755,46719,47474
333911,NICKEL,YES,YES,YES,Pounds,4,20,390,410
311514,TOLUENE,YES,NO,NO,Pounds,5000,91000,0,91000
326150,MIXTURE,NO,NO,NO,Pounds,5,10,0,10
424710,ETHYLENE GLYCOL,YES,NO,NO,Pounds,0.04,0.08,0,0.08
424710,LEAD COMPOUNDS,YES,YES,NO,Pounds,0,0,0,0
311821,AMMONIA,NO,NO,NO,Pounds,27550,27550,0,27550
325199,ACETALDEHYDE,YES,NO,YES,Pounds,0,0,0,0
327992,PROPARGYL ALCOHOL,NO,NO,NO,Pounds,0.91,13.46,0,13.46
325211,XYLENE (MIXED ISOMERS),YES,NO,NO,Pounds,6190,8840,0,8840
424710,"BENZO(G,H,I)PERYLENE",YES,NO,YES,Pounds,0.3,0.35,0,0.35
339114,LEAD COMPOUNDS,YES,YES,NO,Pounds,0.39,0.39,105,105.39
424710,XYLENE (MIXED ISOMERS),YES,NO,NO,Pounds,461,3611,0,3611
327992,TETRACHLOROETHYLENE,YES,NO,YES,Pounds,0.55,8.12,0,8.12
327992,VINYL ACETATE,YES,NO,YES,Pounds,0.26,3.86,0,3.86
424710,BENZENE,YES,NO,YES,Pounds,0,0,0,0
424710,N-HEXANE,YES,NO,NO,Pounds,0,0,0,0
424710,"BENZO(G,H,I)PERYLENE",YES,NO,YES,Pounds,0,0,0,0
424710,TOLUENE,YES,NO,NO,Pounds,2497,2775,0,2775
335314,LEAD,YES,YES,YES,Pounds,1,1,55.5,56.5
221112,XYLENE (MIXED ISOMERS),YES,NO,NO,Pounds,209.5,209.5,0,209.5
334111,LEAD COMPOUNDS,YES,YES,NO,Pounds,72.7,83.4,11.8,100.5
327992,"1,2-DICHLOROETHANE",YES,NO,YES,Pounds,0.04,0.56,0,0.56
221112,N-HEXANE,YES,NO,NO,Pounds,0.09,0.09,0,0.09
325120,HYDROGEN FLUORIDE,YES,NO,NO,Pounds,0,31,250,281
327992,ACETALDEHYDE,YES,NO,YES,Pounds,0.03,0.48,0,0.48
424710,"1,2,4-TRIMETHYLBENZENE",NO,NO,NO,Pounds,72,77,0,77
424710,NAPHTHALENE,YES,NO,NO,Pounds,0.1,0.96,0,0.96
325199,O-TOLUIDINE,YES,NO,YES,Pounds,518,3491,0,3491
322121,POLYCYCLIC AROMATIC COMPOUNDS,YES,NO,YES,Pounds,0,0,0,0
424710,BENZENE,YES,NO,YES,Pounds,56,99,0,99
335932,COPPER COMPOUNDS,NO,YES,NO,Pounds,0,0,0,0
311513,NITRATE COMPOUNDS,NO,NO,NO,Pounds,0,0,10555,10555
322121,"BENZO(G,H,I)PERYLENE",YES,NO,YES,Pounds,0.00003,0.00003,0,0.00003
325991,METHYL ISOBUTYL KETONE,YES,NO,NO,Pounds,5,255,5,260
333912,MANGANESE,YES,YES,NO,Pounds,5,65,0,65
424710,LEAD COMPOUNDS,YES,YES,NO,Pounds,0,0,0,0
335932,LEAD,YES,YES,YES,Pounds,0,0,1.52,1.52
221112,"BENZO(G,H,I)PERYLENE",YES,NO,YES,Pounds,0.01,0.01,0,0.01
336510,NICKEL,YES,YES,YES,Pounds,0,0,16.2,16.2
424710,"1,2,4-TRIMETHYLBENZENE",NO,NO,NO,Pounds,53,53,0,53
333132,CHROMIUM,YES,YES,YES,Pounds,0,17,1,18
424710,N-HEXANE,YES,NO,NO,Pounds,286,723,0,723
339999,CERTAIN GLYCOL ETHERS,YES,NO,NO,Pounds,22,29,0,29
335931,COPPER,NO,YES,NO,Pounds,0,0,0,0
325211,PHENOL,YES,NO,NO,Pounds,370,376,0,376
333132,CERTAIN GLYCOL ETHERS,YES,NO,NO,Pounds,5160,5160,0,5160
221112,MERCURY COMPOUNDS,YES,YES,NO,Pounds,29,65,0,65
339999,TRICHLOROETHYLENE,YES,NO,YES,Pounds,243,324,0,324
221112,THALLIUM COMPOUNDS,NO,YES,NO,Pounds,0,0,48,48
424710,ETHYLBENZENE,YES,NO,NO,Pounds,48,628,0,628
212399,LEAD COMPOUNDS,YES,YES,NO,Pounds,5,5,495,500
325510,LEAD,YES,YES,YES,Pounds,0,0.22,0.549,0.769
334412,NITRATE COMPOUNDS,NO,NO,NO,Pounds,0,0,0,0
332510,MANGANESE,YES,YES,NO,Pounds,0,24.28,0,24.28
326199,DI(2-ETHYLHEXYL) PHTHALATE,YES,NO,YES,Pounds,0,131,100059,100190
311511,NITRIC ACID,NO,NO,NO,Pounds,0,0,0,0
332112,CHROMIUM,YES,YES,YES,Pounds,250,250,0,250
325188,SODIUM NITRITE,NO,YES,NO,Pounds,10362.92,10362.92,0,10362.92
331421,NICKEL COMPOUNDS,YES,YES,NO,Pounds,3.2,18.4,0.8,19.2
424690,"1,2,4-TRIMETHYLBENZENE",NO,NO,NO,Pounds,0,0,0,0
336413,LEAD,YES,YES,YES,Pounds,0,0,0,0
335931,LEAD COMPOUNDS,YES,YES,NO,Pounds,0,0,0,0
332813,NITRATE COMPOUNDS,NO,NO,NO,Pounds,0,0,0,0
424710,ETHYLBENZENE,YES,NO,NO,Pounds,50,73,0,73
424710,XYLENE (MIXED ISOMERS),YES,NO,NO,Pounds,126,196,0,196
332813,NITRIC ACID,NO,NO,NO,Pounds,2970,3220,0,3220
312120,POLYCYCLIC AROMATIC COMPOUNDS,YES,NO,YES,Pounds,0.001,0.001,0,0.001
325193,CYCLOHEXANE,NO,NO,NO,Pounds,0,0,0,0
221112,"HYDROCHLORIC ACID (1995 AND AFTER ""ACID AEROSOLS"" ONLY)",YES,NO,NO,Pounds,4758,4758,0,4758
332211,NICKEL,YES,YES,YES,Pounds,0,0,0,0
333912,METHANOL,YES,NO,NO,Pounds,0,250,0,250
311511,NITRIC ACID,NO,NO,NO,Pounds,0,1.09,0,1.09
221119,AMMONIA,NO,NO,NO,Pounds,1331,1336,0,1336
332710,COPPER,NO,YES,NO,Pounds,0,0,0,0
332431,N-BUTYL ALCOHOL,NO,NO,NO,Pounds,46231,63808,0,63808
331492,COPPER,NO,YES,NO,Pounds,0,8.4,0,21.26
221112,"BENZO(G,H,I)PERYLENE",YES,NO,YES,Pounds,0,0,0,0
311919,NITRATE COMPOUNDS,NO,NO,NO,Pounds,0,0,0,0
326220,TOLUENE,YES,NO,NO,Pounds,5641,5647.3,0,5647.3
424690,NITRATE COMPOUNDS,NO,NO,NO,Pounds,0,0,0,0
424710,ETHYLBENZENE,YES,NO,NO,Pounds,171,225.04,0,225.04
325188,SILVER,NO,YES,NO,Pounds,5,5,0,5.1
332322,NICKEL,YES,YES,YES,Pounds,250,255,250,505
339991,POLYCYCLIC AROMATIC COMPOUNDS,YES,NO,YES,Pounds,0,0,0,0
334412,NITRIC ACID,NO,NO,NO,Pounds,463.16,463.16,0,463.16
324121,FORMALDEHYDE,YES,NO,YES,Pounds,620,620,0,620
332117,NICKEL,YES,YES,YES,Pounds,53,53,5614,5667
312111,AMMONIA,NO,NO,NO,Pounds,0,0,0,0
424710,METHYL TERT-BUTYL ETHER,YES,NO,NO,Pounds,0,0,0,0
322121,"BENZO(G,H,I)PERYLENE",YES,NO,YES,Pounds,0,0,0,0
